"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Sidebar\Sidebar2.scss", "SCSS", 0, 0, 0, 234, 4, 40, 278
"f:\Antonio\Code\WebDev\bakmazon\src\Components\StoreItems\StoreItems.js", "JavaScript", 51, 0, 0, 0, 3, 12, 66
"f:\Antonio\Code\WebDev\bakmazon\src\Components\StoreItems\StoreItems.scss", "SCSS", 0, 0, 0, 52, 0, 13, 65
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Store\Store.js", "JavaScript", 17, 0, 0, 0, 0, 5, 22
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Store\Store.scss", "SCSS", 0, 0, 0, 6, 0, 0, 6
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Trending\Trending.js", "JavaScript", 27, 0, 0, 0, 0, 6, 33
"f:\Antonio\Code\WebDev\bakmazon\src\Components\Trending\Trending.scss", "SCSS", 0, 0, 0, 7, 0, 2, 9
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\cart.svg", "XML", 0, 0, 5, 0, 0, 1, 6
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\dropdown.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"f:\Antonio\Code\WebDev\bakmazon\src\imgs\menu.svg", "XML", 0, 0, 18, 0, 0, 1, 19
"f:\Antonio\Code\WebDev\bakmazon\src\index.css", "CSS", 0, 12, 0, 0, 0, 2, 14
"f:\Antonio\Code\WebDev\bakmazon\src\index.js", "JavaScript", 13, 0, 0, 0, 3, 3, 19
"f:\Antonio\Code\WebDev\bakmazon\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"f:\Antonio\Code\WebDev\bakmazon\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 4, 1, 6
"Total", "-", 1684, 12, 26, 2090, 86, 643, 4541
